frame;rangeResMag;bearingResMag;rangeResClr;height;width
440;0.029375;0.180528;0.029375;670;256
441;0.029375;0.180528;0.029375;662;256
442;0.02875;0.180528;0.02875;661;256
443;0.02875;0.180528;0.02875;661;256
444;0.02875;0.180528;0.02875;661;256
445;0.02875;0.180528;0.02875;661;256
446;0.02875;0.180528;0.02875;661;256
447;0.02875;0.180528;0.02875;661;256
448;0.02875;0.180528;0.02875;661;256
449;0.02875;0.180528;0.02875;661;256
450;0.02875;0.180528;0.02875;661;256
451;0.02875;0.180528;0.02875;661;256
452;0.02875;0.180528;0.02875;661;256
453;0.02875;0.180528;0.02875;661;256
454;0.02875;0.180528;0.02875;661;256
455;0.02875;0.180528;0.02875;661;256
456;0.02875;0.180528;0.02875;661;256
457;0.02875;0.180528;0.02875;661;256
458;0.02875;0.180528;0.02875;661;256
459;0.02875;0.180528;0.02875;661;256
460;0.02875;0.180528;0.02875;661;256
461;0.02875;0.180528;0.02875;661;256
462;0.02875;0.180528;0.02875;661;256
463;0.02875;0.180528;0.02875;661;256
464;0.02875;0.180528;0.02875;661;256
465;0.02875;0.180528;0.02875;661;256
466;0.02875;0.180528;0.02875;661;256
467;0.02875;0.180528;0.02875;661;256
468;0.02875;0.180528;0.02875;661;256
469;0.02875;0.180528;0.02875;661;256
470;0.02875;0.180528;0.02875;661;256
471;0.02875;0.180528;0.02875;652;256
472;0.02875;0.180528;0.02875;652;256
473;0.02875;0.180528;0.02875;652;256
474;0.028125;0.180528;0.028125;659;256
475;0.028125;0.180528;0.028125;659;256
476;0.028125;0.180528;0.028125;659;256
477;0.028125;0.180528;0.028125;650;256
478;0.028125;0.180528;0.028125;650;256
479;0.028125;0.180528;0.028125;650;256
480;0.0275;0.180528;0.0275;657;256
481;0.0275;0.180528;0.0275;657;256
482;0.0275;0.180528;0.0275;657;256
483;0.0275;0.180528;0.0275;657;256
484;0.0275;0.180528;0.0275;648;256
485;0.0275;0.180528;0.0275;648;256
486;0.0275;0.180528;0.0275;648;256
487;0.0275;0.180528;0.0275;648;256
488;0.0275;0.180528;0.0275;648;256
489;0.0275;0.180528;0.0275;639;256
490;0.0275;0.180528;0.0275;639;256
491;0.026875;0.180528;0.026875;646;256
492;0.026875;0.180528;0.026875;646;256
493;0.026875;0.180528;0.026875;646;256
494;0.026875;0.180528;0.026875;646;256
495;0.026875;0.180528;0.026875;646;256
496;0.026875;0.180528;0.026875;646;256
497;0.026875;0.180528;0.026875;646;256
498;0.026875;0.180528;0.026875;646;256
499;0.026875;0.180528;0.026875;646;256
500;0.026875;0.180528;0.026875;646;256
501;0.026875;0.180528;0.026875;637;256
502;0.026875;0.180528;0.026875;637;256
503;0.026875;0.180528;0.026875;637;256
504;0.026875;0.180528;0.026875;628;256
505;0.026875;0.180528;0.026875;628;256
506;0.026875;0.180528;0.026875;628;256
507;0.026875;0.180528;0.026875;628;256
508;0.026875;0.180528;0.026875;628;256
509;0.026875;0.180528;0.026875;628;256
510;0.026875;0.180528;0.026875;628;256
511;0.026875;0.180528;0.026875;628;256
512;0.026875;0.180528;0.026875;628;256
513;0.026875;0.180528;0.026875;628;256
514;0.026875;0.180528;0.026875;628;256
515;0.026875;0.180528;0.026875;628;256
516;0.026875;0.180528;0.026875;628;256
517;0.026875;0.180528;0.026875;628;256
518;0.026875;0.180528;0.026875;628;256
519;0.026875;0.180528;0.026875;628;256
520;0.026875;0.180528;0.026875;628;256
521;0.026875;0.180528;0.026875;628;256
522;0.026875;0.180528;0.026875;628;256
523;0.026875;0.180528;0.026875;628;256
524;0.026875;0.180528;0.026875;628;256
525;0.026875;0.180528;0.026875;628;256
526;0.02625;0.180528;0.02625;634;256
527;0.02625;0.180528;0.02625;625;256
528;0.02625;0.180528;0.02625;625;256
529;0.02625;0.180528;0.02625;625;256
530;0.02625;0.180528;0.02625;625;256
531;0.02625;0.180528;0.02625;625;256
532;0.02625;0.180528;0.02625;625;256
533;0.02625;0.180528;0.02625;625;256
534;0.02625;0.180528;0.02625;625;256
535;0.02625;0.180528;0.02625;625;256
536;0.02625;0.180528;0.02625;625;256
537;0.02625;0.180528;0.02625;625;256
538;0.02625;0.180528;0.02625;625;256
539;0.02625;0.180528;0.02625;625;256
540;0.02625;0.180528;0.02625;625;256
541;0.02625;0.180528;0.02625;625;256
542;0.02625;0.180528;0.02625;625;256
543;0.02625;0.180528;0.02625;625;256
544;0.02625;0.180528;0.02625;625;256
545;0.02625;0.180528;0.02625;625;256
546;0.02625;0.180528;0.02625;625;256
547;0.02625;0.180528;0.02625;625;256
548;0.02625;0.180528;0.02625;625;256
549;0.02625;0.180528;0.02625;625;256
550;0.02625;0.180528;0.02625;625;256
551;0.02625;0.180528;0.02625;625;256
552;0.02625;0.180528;0.02625;625;256
553;0.02625;0.180528;0.02625;625;256
554;0.02625;0.180528;0.02625;625;256
555;0.02625;0.180528;0.02625;625;256
556;0.02625;0.180528;0.02625;625;256
557;0.02625;0.180528;0.02625;625;256
558;0.02625;0.180528;0.02625;625;256
559;0.02625;0.180528;0.02625;625;256
560;0.02625;0.180528;0.02625;634;256
561;0.02625;0.180528;0.02625;634;256
562;0.02625;0.180528;0.02625;634;256
563;0.02625;0.180528;0.02625;634;256
564;0.02625;0.180528;0.02625;634;256
565;0.02625;0.180528;0.02625;634;256
566;0.026875;0.180528;0.026875;628;256
567;0.026875;0.180528;0.026875;628;256
568;0.026875;0.180528;0.026875;637;256
569;0.026875;0.180528;0.026875;637;256
570;0.026875;0.180528;0.026875;637;256
;;;;;
571;0.026875;0.180528;0.026875;646;256
572;0.026875;0.180528;0.026875;646;256
573;0.026875;0.180528;0.026875;646;256
574;0.026875;0.180528;0.026875;646;256
575;0.026875;0.180528;0.026875;646;256
576;0.026875;0.180528;0.026875;646;256
577;0.026875;0.180528;0.026875;646;256
578;0.026875;0.180528;0.026875;646;256
579;0.026875;0.180528;0.026875;646;256
580;0.026875;0.180528;0.026875;646;256
581;0.026875;0.180528;0.026875;646;256
582;0.026875;0.180528;0.026875;646;256
583;0.026875;0.180528;0.026875;646;256
584;0.026875;0.180528;0.026875;646;256
585;0.026875;0.180528;0.026875;646;256
586;0.026875;0.180528;0.026875;646;256
587;0.026875;0.180528;0.026875;646;256
588;0.026875;0.180528;0.026875;646;256
589;0.026875;0.180528;0.026875;646;256
590;0.026875;0.180528;0.026875;646;256
591;0.026875;0.180528;0.026875;646;256
592;0.026875;0.180528;0.026875;646;256
593;0.026875;0.180528;0.026875;646;256
594;0.026875;0.180528;0.026875;646;256
595;0.026875;0.180528;0.026875;646;256
596;0.026875;0.180528;0.026875;646;256
597;0.026875;0.180528;0.026875;646;256
598;0.026875;0.180528;0.026875;646;256
599;0.026875;0.180528;0.026875;646;256
600;0.026875;0.180528;0.026875;646;256
